iter	Passed	Remaining
0	1	111
1	2	100
2	2	95
3	3	90
4	4	91
5	5	89
6	6	85
7	7	82
8	7	79
9	8	77
10	9	75
11	10	73
12	10	71
13	11	70
14	12	69
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	59
25	20	59
26	22	59
27	23	59
28	24	59
29	25	59
30	26	58
31	27	58
32	28	58
33	29	57
34	31	57
35	32	57
36	33	57
37	34	56
38	35	56
39	37	55
40	38	54
41	38	53
42	39	52
43	40	52
44	42	51
45	43	51
46	44	50
47	45	49
48	46	48
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	43
56	55	42
57	56	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	66	34
66	67	33
67	68	32
68	69	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	84	19
81	85	18
82	86	17
83	87	16
84	89	15
85	90	14
86	91	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	101	5
95	102	4
96	103	3
97	105	2
98	106	1
99	107	0
