iter	Passed	Remaining
0	162	162196
1	164	81852
2	165	54890
3	166	41356
4	166	33203
5	167	27799
6	168	23959
7	169	21034
8	171	18838
9	172	17059
10	173	15574
11	174	14333
12	174	13285
13	175	12373
14	176	11582
15	177	10887
16	177	10273
17	178	9728
18	178	9239
19	179	8800
20	180	8409
21	181	8060
22	182	7737
23	183	7451
24	184	7189
25	185	6935
26	185	6699
27	186	6478
28	187	6271
29	188	6078
30	189	5908
31	189	5740
32	190	5580
33	191	5429
34	191	5286
35	192	5152
36	193	5025
37	193	4905
38	194	4791
39	195	4691
40	196	4603
41	197	4505
42	198	4412
43	198	4322
44	199	4235
45	200	4153
46	200	4073
47	201	3997
48	202	3924
49	202	3854
50	203	3787
51	204	3722
52	204	3660
53	205	3601
54	206	3543
55	206	3487
56	207	3433
57	208	3381
58	209	3334
59	210	3294
60	211	3249
61	211	3204
62	212	3160
63	213	3117
64	213	3076
65	214	3035
66	215	2996
67	215	2958
68	216	2921
69	217	2884
70	217	2849
71	218	2815
72	219	2782
73	219	2750
74	220	2718
75	221	2687
76	221	2657
77	222	2629
78	223	2603
79	223	2575
80	224	2551
81	225	2527
82	226	2498
83	226	2473
84	227	2449
85	228	2425
86	228	2401
87	229	2378
88	230	2356
89	230	2334
90	231	2312
91	232	2291
92	232	2270
93	233	2250
94	234	2230
95	234	2211
96	235	2191
97	236	2173
98	237	2157
99	237	2140
100	238	2126
101	240	2117
102	241	2102
103	242	2087
104	243	2072
105	243	2056
106	244	2041
107	245	2027
108	246	2013
109	247	1999
110	247	1985
111	248	1971
112	249	1958
113	250	1946
114	251	1933
115	252	1920
116	252	1906
117	254	1899
118	255	1889
119	256	1877
120	256	1866
121	257	1853
122	258	1842
123	259	1831
124	260	1820
125	260	1809
126	261	1797
127	262	1786
128	263	1776
129	263	1765
130	264	1755
131	265	1746
132	266	1737
133	267	1727
134	268	1722
135	269	1714
136	271	1707
137	272	1699
138	272	1690
139	273	1681
140	274	1673
141	275	1663
142	276	1654
143	276	1646
144	277	1637
145	278	1631
146	279	1623
147	280	1614
148	281	1606
149	282	1598
150	283	1595
151	285	1590
152	285	1582
153	286	1575
154	287	1567
155	288	1561
156	289	1555
157	290	1547
158	291	1540
159	292	1533
160	292	1525
161	293	1517
162	294	1510
163	295	1503
164	295	1496
165	296	1491
166	298	1486
167	298	1480
168	299	1474
169	300	1468
170	301	1462
171	310	1495
172	312	1491
173	312	1485
174	313	1479
175	314	1472
176	315	1466
177	316	1459
178	316	1453
179	317	1447
180	318	1441
181	319	1435
182	320	1428
183	321	1424
184	322	1420
185	323	1415
186	324	1409
187	324	1403
188	326	1398
189	326	1393
190	327	1387
191	328	1382
192	329	1376
193	330	1371
194	330	1365
195	331	1360
196	332	1355
197	333	1349
198	334	1344
199	334	1339
200	336	1338
201	337	1334
202	338	1330
203	339	1325
204	340	1321
205	341	1317
206	342	1313
207	344	1310
208	345	1306
209	346	1303
210	347	1298
211	348	1294
212	349	1291
213	350	1289
214	352	1285
215	354	1285
216	356	1287
217	358	1286
218	362	1293
219	364	1291
220	365	1290
221	367	1287
222	368	1284
223	369	1280
224	370	1275
225	371	1270
226	371	1266
227	372	1261
228	373	1257
229	374	1254
230	375	1250
231	376	1246
232	377	1242
233	378	1237
234	379	1233
235	380	1230
236	381	1226
237	381	1222
238	382	1217
239	383	1213
240	384	1209
241	385	1205
242	385	1202
243	386	1198
244	387	1194
245	388	1190
246	422	1289
247	424	1286
248	426	1284
249	427	1283
250	429	1281
251	431	1279
252	432	1277
253	434	1274
254	435	1272
255	436	1269
256	438	1267
257	439	1265
258	441	1264
259	443	1262
260	445	1261
261	446	1258
262	449	1258
263	450	1256
264	452	1253
265	458	1264
266	459	1261
267	460	1256
268	460	1252
269	461	1248
270	462	1245
271	463	1240
272	464	1236
273	465	1232
